
"UCL_CODE_2016"	"UCL_NAME_2016"	"Latitude"	"Longitude"
"UCL115033"	"Calala"	-31.129913	150.947287
"UCL115034"	"Callala Bay"	-35.013493	150.689341
"UCL115035"	"Cambewarra Village"	-34.822723	150.558357
"UCL115036"	"Canowindra"	-33.563624	148.665702
"UCL115037"	"Cobar"	-31.499515	145.840177
"UCL115038"	"Colo Vale"	-34.397726	150.480417
"UCL115039"	"Condobolin"	-33.085598	147.14555
"UCL115040"	"Coolamon"	-34.81466	147.199257
"UCL115041"	"Coonabarabran"	-31.273463	149.279305
"UCL115042"	"Coonamble"	-30.964595	148.382603
"UCL115043"	"Corindi Beach"	-30.02899	153.199337
"UCL115044"	"Crookwell"	-34.460813	149.465271
"UCL115045"	"Culburra Beach - Orient Point"	-34.918154	150.759868
"UCL115046"	"Culcairn"	-35.665108	147.043192
"UCL115047"	"Dalmeny"	-36.167322	150.113064
"UCL115048"	"Denman"	-32.389259	150.679796
"UCL115049"	"Dorrigo"	-30.342364	152.70841
"UCL115050"	"Douglas Park"	-34.186689	150.712679
"UCL115051"	"Dungog"	-32.402988	151.749928
"UCL115052"	"Eden"	-37.056714	149.906304
"UCL115053"	"Estella"	-35.065697	147.361605
"UCL115054"	"Evans Head"	-29.108088	153.422122
"UCL115055"	"Fingal Bay"	-32.74639	152.166947
"UCL115056"	"Finley"	-35.644772	145.570175
"UCL115057"	"Forest Hill"	-35.156454	147.460866
"UCL115058"	"Frederickton"	-31.035405	152.875667
"UCL115059"	"Freemans Reach"	-33.565698	150.770181
"UCL115060"	"Galston"	-33.649486	151.042216
"UCL115061"	"Gerringong"	-34.741899	150.827987
"UCL115062"	"Gilgandra"	-31.707709	148.651455
"UCL115063"	"Glossodia"	-33.531439	150.770532
"UCL115064"	"Gloucester"	-32.014	151.958842
"UCL115065"	"Googong"	-35.422248	149.239482
"UCL115066"	"Greenwell Point"	-34.911293	150.730195
"UCL115067"	"Grenfell"	-33.895936	148.154877
"UCL115068"	"Greta"	-32.679027	151.392415
"UCL115069"	"Gulgong"	-32.360292	149.535159
"UCL115070"	"Gulmarrad"	-29.490078	153.22763
"UCL115071"	"Gundagai"	-35.067389	148.109052
"UCL115072"	"Guyra"	-30.227843	151.671013
"UCL115073"	"Harden - Murrumburrah"	-34.551619	148.350133
"UCL115074"	"Harrington"	-31.877399	152.674346
"UCL115075"	"Hay"	-34.518738	144.841335
"UCL115076"	"Hill Top"	-34.353132	150.493376
"UCL115077"	"Hillston"	-33.487616	145.527297
"UCL115078"	"Holbrook"	-35.722363	147.318182
"UCL115079"	"Howlong"	-35.983269	146.634423
"UCL115080"	"Iluka"	-29.406745	153.349696
"UCL115081"	"Jindabyne"	-36.417713	148.619517
"UCL115082"	"Jindera"	-35.95565	146.888401
"UCL115083"	"Junction Hill"	-29.640745	152.925545
"UCL115084"	"Junee"	-34.861605	147.573874
"UCL115085"	"Kandos"	-32.85742	149.977031
"UCL115086"	"Karuah"	-32.652821	151.958816
"UCL115087"	"Kootingal"	-31.05385	151.056691
"UCL115088"	"Kurrajong"	-33.554155	150.667995
"UCL115089"	"Kyogle"	-28.622217	152.995164
"UCL115090"	"Lake Cargelligo"	-33.295979	146.372208
"UCL115091"	"Lake Cathie"	-31.548874	152.850318
"UCL115092"	"Lemon Tree Passage"	-32.733385	152.03533
"UCL115093"	"Lightning Ridge"	-29.428112	147.979459
"UCL115094"	"Macksville"	-30.711427	152.916595
"UCL115095"	"Maclean"	-29.45104	153.217318
"UCL115096"	"Malua Bay"	-35.786669	150.226114
"UCL115097"	"Manilla"	-30.747633	150.723641
"UCL115098"	"Milton"	-35.318948	150.436216
"UCL115099"	"Molong"	-33.092199	148.861314
"UCL115100"	"Moruya"	-35.913959	150.091912
"UCL115101"	"Mullumbimby"	-28.552852	153.489114
"UCL115102"	"Murrumbateman"	-34.972942	149.009068
"UCL115103"	"Narooma"	-36.202163	150.122791
"UCL115104"	"Narrandera"	-34.740913	146.553518
"UCL115105"	"Narromine"	-32.225329	148.236826
"UCL115106"	"Nyngan"	-31.557831	147.199308
"UCL115107"	"Oberon"	-33.705602	149.863086
"UCL115108"	"Ocean Shores"	-28.518828	153.534219
"UCL115109"	"Old Bar"	-31.968997	152.581754
"UCL115110"	"Old Erowal Bay"	-35.086918	150.645291
"UCL115111"	"Pambula"	-36.928543	149.885587
"UCL115112"	"Picton"	-34.17592	150.611177
"UCL115113"	"Pitt Town"	-33.573551	150.864121
"UCL115114"	"Portland (NSW)"	-33.35203	149.986101
"UCL115115"	"Quirindi"	-31.505001	150.681499
"UCL115116"	"Richmond North"	-33.58349	150.715445
"UCL115117"	"Robertson"	-34.587107	150.603735
"UCL115118"	"Sandy Beach - Emerald Beach"	-30.163228	153.190493
"UCL115119"	"Scone"	-32.042067	150.854547
"UCL115120"	"Shoalhaven Heads"	-34.850132	150.740124
"UCL115121"	"Silverdale - Warragamba"	-33.898915	150.613459
"UCL115122"	"Skennars Head"	-28.827983	153.601788
"UCL115123"	"Smiths Lake"	-32.374431	152.502683
"UCL115124"	"South Golden Beach"	-28.496551	153.539411
"UCL115125"	"Stanwell Park"	-34.229524	150.987237
"UCL115126"	"Sussex Inlet"	-35.173172	150.582323
"UCL115127"	"Tahmoor"	-34.221129	150.58481
"UCL115128"	"Tanilba Bay"	-32.734306	152.001882
"UCL115129"	"Tathra"	-36.71924	149.970845
"UCL115130"	"Tea Gardens"	-32.660183	152.155605
"UCL115131"	"Temora"	-34.444221	147.532498
"UCL115132"	"Tenterfield"	-29.05163	152.018377
"UCL115133"	"The Oaks"	-34.079039	150.570707
"UCL115134"	"Thirlmere"	-34.208017	150.564636
"UCL115135"	"Tocumwal"	-35.807108	145.581939
"UCL115136"	"Tomakin"	-35.82282	150.189972
"UCL115137"	"Tumbarumba"	-35.774003	148.007117
"UCL115138"	"Tuross Head"	-36.04338	150.119991
"UCL115139"	"Uralla"	-30.643881	151.492749
"UCL115140"	"Urunga"	-30.497677	153.01171
